id,insight,status,type,mentions,notes_for_reviewer,reviewed
349,"The user needs to be able to restrict certain features (such as file or outlook integration) for certain user groups, that work on highly confidential topics or are too junior to judge what can be shared.",New – Not yet discussed,Missing Feature,1,,true
350,"The user needs to be always the one controlling where information is send by the tool (colleagues, clients etc.).",Well done - positive feedback outweighs negative,General Feedback,1,,true
351,The user needs the AI to help me find uncertainties or potential errors by evaluating its own performance/ certainty.,New – Not yet discussed,General Feedback,2,,true
352,"The user needs the tool to monitor sources (newsletters, databases etc.) and provide me with an overview of recent changes and what they imply regularly.",New – Not yet discussed,General Feedback,2,,true
353,"The user needs a quick overview of what the tool can and can not do, in order to start working with it and learning on the go.",New – Not yet discussed,General Feedback,1,,true
354,The user needs the tool to support using gender neutral/ inclusive speech or at least give me the opportunity to enable it.,New – Not yet discussed,General Feedback,1,,true
355,The user needs the tool to be able to work with documents in different languages.,Implemented - a solution is released,General Feedback,1,,true
356,"The user needs the tool to be approved by the ""Anwältekammer"" in order to be able to trust it with confidential information.",New – Not yet discussed,General Feedback,1,,true
357,The user needs the producers of the AI to commit to ethical training of the AI to avoid bias and offer the option to notify them if a bias is encountered.,New – Not yet discussed,General Feedback,1,,true
358,The user needs to be able to do legal research directly in the word-add-in in order to avoid switching between tools.,Planned for development,General Feedback,6,,true
359,The user needs the settings to be easily discoverable in order to configure the tool to their needs.,New – Not yet discussed,Missing Feature,2,,true
360,The user would like to be supported in answering questions about their own document.,Implemented - a solution is released,General Feedback,2,,true
361,The user would like to be able to search through the chat to find information in older chats efficiently.,Identified - JIRA ticket exists,Missing Feature,6,,true
362,The user would like to be supported in prioritzing currently running workflows (and their results) to be able to know which one to focus on first.,New – Not yet discussed,General Feedback,1,,true
363,The user would like to be supported in identifying who else needs to be involved in a specific case in a workflow to give them access to the case.,New – Not yet discussed,General Feedback,1,,true
364,The user would like to be able to set company specific elements for workflows that can be shared and reused.,New – Not yet discussed,General Feedback,1,,true
365,The user would like to have some guidance on how much information they need to provide to set up a workflow (step).,New – Not yet discussed,General Feedback,1,,true
366,The user would like to be able to get an overview of which documents have been processed or involved in a workflow in order to check that nothing was missing.,Implemented - a solution is released,General Feedback,1,,true
367,The user expects the matrix analysis to show the citations from respective documents or sources.,Planned for development,Missing Feature,3,,true
368,The user expects the chat to display the correct date at all times.,New – Not yet discussed,Improvement,1,,true
369,The user wants onboarding ressources (like videos) to be available for them to learn how to use the tools.,Well done - positive feedback outweighs negative,General Feedback,1,,true
370,"The user wants the chat to be structured like legal case files, in order to fit their usual structures.",New – Not yet discussed,General Feedback,1,,true
371,The user needs a clearer structure of the sources overview in order to be able to work with it.,New – Not yet discussed,Improvement,1,,true
372,The user needs the chat export to have sources inserted in order to use it for documentation and sharing purposes.,Implemented - a solution is released,Improvement,3,,true
373,The user needs to be able to upload documents from DATEV DMS directly without encountering file format errors.,New – Not yet discussed,Missing Feature,1,,true
374,The user needs the tool to automatically generate documents pre-populated with employee names in the Editor.,New – Not yet discussed,Missing Feature,1,,true
375,The user expects the tool to not be biased by context that is given in a chat beforehand to stay objective.,New – Not yet discussed,Improvement,1,,true
376,"The user needs the exact marginal numbers to be cited, so that the citations can be used directly in e.g. documents.",New – Not yet discussed,Improvement,13,,true
377,The user needs to be able to mark a section in the chat and prompt referring to this section in order to work more efficiently.,New – Not yet discussed,Idea,2,,true
378,The user needs to be able to organize their (prompt) templates e.g. into folders to improve organization and finding specific templates more easily.,Implemented - a solution is released,Improvement,9,,true
379,"The user needs to be able to differentiate fine granularly what other users can do to templates/ workflows (i.e. creating, using, modifying, and deleting them), in order to have control over quality and access.",New – Not yet discussed,Missing Feature,2,,true
380,The user needs the sources to be linked (clickable) in the export and not only in the chat.,New – Not yet discussed,Improvement,2,,true
381,The user needs the tool to use smaller headlines for better readability of the export.,New – Not yet discussed,Improvement,2,,true
383,The user needs the snippets of the citations to give them all context needed.,New – Not yet discussed,Improvement,1,,true
384,The user needs the chat overview to include when the chat happened.,In development,Improvement,1,,true
385,"The user expects that when a column prompt is subsequently changed, the response is automatically updated.",Well done - positive feedback outweighs negative,General Feedback,1,,true
386,"The user needs clear transparency on existing limitations, e.g. upload limitations.",New – Not yet discussed,Missing Feature,1,,true
387,The user wishes the export of the matrix to keep the well-structured overview.,New – Not yet discussed,Improvement,2,,true
388,The users need the possibility to structure the data within the matrix in different ways.,Well done - positive feedback outweighs negative,General Feedback,1,,true
389,The users need a structured way to review multiple documents.,Well done - positive feedback outweighs negative,General Feedback,7,,true
391,The user would like to be able to comment on matrixes in order to communicate with team members or other parties.,New – Not yet discussed,Missing Feature,1,,true
392,Users need to be able to add supporting documents to the Word-Add-In in order to adjust the document based on further info.,Implemented - a solution is released,Missing Feature,3,,true
393,The user needs to be able to see and access old chats (within the Word-Add-In) in order to have access to all necessary information.,Implemented - a solution is released,Missing Feature,1,,true
394,The User needs to be able to start a new chat (within the Word-Add-In) in order to start clean for a new topic.,Implemented - a solution is released,Missing Feature,1,,true
395,"The user needs the editor to save all made changes, when they change to another chat to avoid data loss.",New – Not yet discussed,Improvement,2,,true
396,The user needs the Word-Add-In to be able to work with footnotes in order to have sources less prominent in the document.,New – Not yet discussed,Missing Feature,2,,true
397,The user needs the tool to automatically select the right way of working (i.e. selecting the right templates or features) in order to avoid having to do it manually.,New – Not yet discussed,Improvement,1,,true
398,The user needs the login to be smooth an easy and ideally not happen too often.,New – Not yet discussed,Improvement,1,,true
399,"The user needs the last engaged chat to be at the top, not the last newly created one.",New – Not yet discussed,Improvement,1,,true
401,"Users find that legal reasoning and subsumption in answers is too shallow, with alternative solutions, risk assessments, and minority views often missing.",New – Not yet discussed,Improvement,5,,true
402,"Users cannot clearly tell whether the system is still processing or has already finished, due to missing or unclear progress indicators.",In development,Improvement,4,,true
403,The user needs multi-step reasoning to be maintained consistently across more than 5 conversation turns.,New – Not yet discussed,Improvement,1,,true
406,"The user needs Matrix Analysis prompts to be preserved when re-opening ""Spalte bearbeiten"".",New – Not yet discussed,General Feedback,1,,true
408,User should be able to collapse the Thinking Process with one click after it is generated.,Well done - positive feedback outweighs negative,Improvement,5,,true
411,The user needs to have cantonal jurisprudence and laws integrated into the database.,New – Not yet discussed,Missing Feature,1,,true
414,The user needs the tool to practice multilingual source matching: French-language questions should also surface German/Italian/English references (and reverse).,New – Not yet discussed,Improvement,1,,true
419,The user expects the preview to be optimzed for reading even when there are many footnotes in the source.,New – Not yet discussed,Improvement,1,,true
420,The user expects the thinking process to work with human-readable labels instead of surfacing technical terms in order to understand it more easily.,New – Not yet discussed,Improvement,1,,true
422,The user needs the Thinking Process to always be displayed in the language of the prompt.,New – Not yet discussed,Improvement,5,,true
425,"The user needs an indicator of how current/outdated the content is, e.g. showing the document date directly with each source",New – Not yet discussed,Improvement,1,,true
428,The user expects a source to only be listed once in a paragraph to improve readability.,New – Not yet discussed,Improvement,2,,true
429,The user expects prior question's context to be taken into account for follow-up questions(e.g. the previously named statute).,New – Not yet discussed,Improvement,1,,true
430,"The user needs explanations across all areas of Swiss law to be legally accurate, with correct court citations and sound reasoning.",Identified - JIRA ticket exists,Improvement,23,DELETE,true
431,"The user needs the tool to automatically detect deadlines and urgency from incoming items and proactively create calendar entries, tasks, and reminders.",New – Not yet discussed,Missing Feature,2,,true
432,"The user needs AI self-service surfaces per business unit so non-legal users can self-serve, with legal teams curating the knowledge base and human-in-the-loop escalation available when needed.",New – Not yet discussed,Missing Feature,2,,true
433,The user needs the tool to help decode unfamiliar business-unit jargon so they can quickly understand what a case is about.,New – Not yet discussed,General Feedback,1,,true
434,"The user needs the tool to accept and consolidate requests from multiple input channels (email, intranet form, voice/phone) into one unified system.",New – Not yet discussed,Missing Feature,1,,true
435,The user needs the tool to balance workload across team members based on current capacity.,New – Not yet discussed,Missing Feature,1,,true
436,The user needs the tool to automatically keep requesters informed of the progress of their request.,New – Not yet discussed,Missing Feature,1,,true
437,"The user needs motivational features (e.g. streaks, daily nudges) to encourage consistent tool use.",New – Not yet discussed,Missing Feature,1,,true
438,The user needs the tool to redline an existing Word document with minimal changes rather than regenerating a new document from scratch.,New – Not yet discussed,Missing Feature,1,,true
439,"The user needs the tool to flag cross-clause and cross-domain impacts (e.g. tax, antitrust) automatically when one clause is changed.",New – Not yet discussed,Missing Feature,1,,true
440,The user needs the tool to generate visual diagrams (Schaubilder) of contractual relationships from large contracts.,New – Not yet discussed,Missing Feature,1,,true
441,"The user needs the tool to extract and present a tabular overview of contractual obligations, rights, and termination notice periods from a contract.",New – Not yet discussed,Missing Feature,1,,true
442,The user needs the tool to optimise their English drafting on demand into proper legal English.,New – Not yet discussed,Missing Feature,1,,true
443,The user needs the tool to cover EU regulations and EU case law alongside national law in one unified tool.,New – Not yet discussed,Missing Feature,1,,true
444,The user needs unlimited input and output length for template-filling tasks.,New – Not yet discussed,Missing Feature,1,,true
445,The user needs the vendor to proactively curate and maintain templates and checklists within the tool over time.,New – Not yet discussed,Missing Feature,1,,true
446,The user needs the tool to automatically suggest relevant case law and judgments in the background when a case file is opened.,New – Not yet discussed,Missing Feature,1,,true
447,"The user needs the tool to automatically extract procedural data (admissibility, deadlines, time limits) from case files.",New – Not yet discussed,Missing Feature,1,,true
448,The user needs the tool to support cross-border procedural comparison (e.g. covert seizure in Austria) for trans-national cases.,New – Not yet discussed,Missing Feature,1,,true
449,"The user needs the tool to keep track of what has already been read or written in a long-running case, so they do not duplicate work.",New – Not yet discussed,Missing Feature,1,,true
450,The user needs the tool to flag contradictions between submissions and suggest fact-finding gaps for offence elements.,New – Not yet discussed,Missing Feature,1,,true
451,The user needs the tool to verify and correctly link cited rulings and sources within incoming submissions from parties.,New – Not yet discussed,Missing Feature,1,,true
452,"The user needs the tool to conduct autonomous research and tool calls, rather than requiring the user to provide context manually.",New – Not yet discussed,Missing Feature,2,,true
453,The user needs the tool to automate routine administrative steps (e.g. dispatching decrees to attorneys whose addresses are already known).,New – Not yet discussed,Missing Feature,1,,true
454,The user needs inline AI clause suggestions directly in Word while drafting a contract.,New – Not yet discussed,Missing Feature,2,,true
456,The user needs access to answers from previous sessions in order to maintain continuity across chats.,New – Not yet discussed,Missing Feature,2,,true
457,"The user needs copied text to preserve citation references correctly, without leaving stray spaces behind.",New – Not yet discussed,Improvement,2,,true
458,The citation function is broken in Firefox - raw placeholder tokens are emitted into the text instead of formatted citations.,New – Not yet discussed,Bug,1,DELETE,true
459,Users want configurable citation style; the default citation format is unusual in German legal scholarship and practice.,New – Not yet discussed,Missing Feature,6,,true
460,"The user needs the tool to make full use of the available publisher content corpus and insert sufficient literature and commentary references, even when explicitly prompted to do so.",New – Not yet discussed,Improvement,2,DELETE - merged into ID 109,true
461,"The users need the tool to produce prose-based, running-text output by default and avoid excessive use of bullet points.",New – Not yet discussed,Improvement,1,,true
462,"The user needs court decisions to be findable and accessible directly within the tool, without requiring manual download and re-upload workflows.",New – Not yet discussed,Improvement,1,DELETE,true
463,Users want template generation that consolidates overlaps across similar documents and surfaces differences as optional text blocks.,New – Not yet discussed,Missing Feature,1,,true
464,"Users want to reference documents inline in the editor via @ mentions, and reference existing chats via @ to pull documents and results from them.",New – Not yet discussed,Missing Feature,2,,true
465,The user needs edits on one side of a two-column bilingual document to propagate automatically to the other side across the entire document.,New – Not yet discussed,Missing Feature,2,,true
467,The user expects the Matrix Analysis layout to be well-structured and easy to navigate.,Well done - positive feedback outweighs negative,General Feedback,4,,true
468,The tool produces good results with first drafts of white papers and other documents.,Well done - positive feedback outweighs negative,General Feedback,1,,true
469,The user finds support in preparing presentations and structuring content very helpful.,Well done - positive feedback outweighs negative,General Feedback,1,,true
470,The user finds that answer quality increases significantly with follow-up prompting.,Well done - positive feedback outweighs negative,General Feedback,4,,true
471,The user needs Matrix Analysis Excel exports to include the column prompts on a separate sheet for documentation purposes.,New – Not yet discussed,Improvement,1,,true
472,The users need a persisting login - currently users are auto-logged-out after a short time and a fresh login is required for every Word document.,New – Not yet discussed,Improvement,5,,true
473,Storage limit is too low — 30 MB is insufficient; ~50 MB is workable.,New – Not yet discussed,Improvement,2,DELETE - merged into ID 107,true
474,The user expects a faster response / generation speed at the moment its rated as too slow.,New – Not yet discussed,Improvement,2,,true
475,"Recurring system errors / crashes — 'Es ist ein interner Fehler aufgetreten' appears repeatedly, especially when reviewing documents in the Editor.",New – Not yet discussed,Bug,3,DELETE,true
476,"Users would like memory / learning across sessions, and want the tool to engage with counter-arguments when they present a differing result.",New – Not yet discussed,Idea,1,,true
477,The users need generated output delivered as a downloadable PPTX file.,New – Not yet discussed,Missing Feature,1,,true
478,"Users need project workspaces / collaboration, including editing two interdependent contracts together.",New – Not yet discussed,Missing Feature,1,,true
479,Users want in-product support — a phone line or live chat directly in the interface.,New – Not yet discussed,Missing Feature,1,,true
480,"The users need to be able to work on their mobile phone, e.g. through an iOS app.",New – Not yet discussed,Missing Feature,1,,true
481,"The user expects for pleadings/briefs that the structure is met, currently its often missing required legal formalities (e.g. Rechtsbehelfsbelehrung, Anrede, Grußformel).",New – Not yet discussed,Improvement,2,,true
482,The visible thinking process / step-by-step reasoning is highly valued — it helps users verify results and spot imprecise prompts.,New – Not yet discussed,General Feedback,7,DELETE - merged into ID 79,true
483,"Source and citation quality is a highlight — precise references, working Fundstellen links, and access to commentary/journal literature.",Well done - positive feedback outweighs negative,General Feedback,7,DELETE,true
484,"Users value the fast, useful first assessment and the resulting time savings.",New – Not yet discussed,General Feedback,4,DELETE,true
485,"The user needs to be able to fully clear or delete the Editor content in one action, instead of the tool overwriting, appending to, or being unable to rebuild it.",New – Not yet discussed,Improvement,4,,true
487,"The user needs comments/annotations placed directly at the relevant location in the document, with a settable commenter name and clearer colour coding, for direct hand-off into Word.",New – Not yet discussed,Missing Feature,1,,true
488,The user needs to be able to save their own prompts for reuse.,New – Not yet discussed,Missing Feature,1,DELETE - merged into ID 514,true
489,"The user needs a copy button in the Editor, like the one available in the chat.",New – Not yet discussed,Missing Feature,1,,true
490,"The user needs the tool to preserve and fill a user-provided outline (Gliederung) instead of deleting it, and to respect legal heading-level structure.",New – Not yet discussed,Improvement,4,DELETE - merged into ID 212,true
491,The user finds the pricing too high for solo practitioners / small firms and would like a more economical offer.,New – Not yet discussed,General Feedback,2,,true
492,"The user needs to be able to accept only a selected part of a proposed clause/suggestion into the document, rather than the whole suggestion.",New – Not yet discussed,Missing Feature,1,,true
493,The user needs the Word-Add-In to be able to add comments addressed to the other contracting party / a third party who receives the revised version.,New – Not yet discussed,Missing Feature,2,DELETE - merged into ID 487,true
494,The user wants to be able to correct the AI's errors directly so that the correction feeds back into improving the model.,New – Not yet discussed,Idea,1,DELETE - merged into ID 476,true
495,"The user needs a unified, standard citation style (e.g. Bearbeiter/MüKo, § x Rn.) applied consistently, so that source references are directly usable in legal documents.",New – Not yet discussed,Improvement,1,DELETE - merged into ID 376,true
496,The user wants underlying sources inserted as clickable links (not only footnotes) directly in the document.,New – Not yet discussed,Improvement,1,,true
497,The tool hallucinates court judgments that do not exist.,New – Not yet discussed,Bug,2,DELETE,true
498,The template naming field should be more prominent.,New – Not yet discussed,Improvement,1,,true
499,"The template description should be optional — when mandatory, users just paste prompt fragments.",New – Not yet discussed,Improvement,1,,true
500,"The template description character limit is not communicated at creation, so users write text that gets truncated.",New – Not yet discussed,Improvement,1,,true
501,"The users find it unclear during template creation whether defining and referencing user inputs is mandatory or optional, and whether it improves output.",New – Not yet discussed,General Feedback,1,,true
502,"The user-input feature should allow both text and file input, not either/or.",New – Not yet discussed,Missing Feature,1,,true
503,"User-input instructions are not displayed for file inputs, even when essential.",New – Not yet discussed,Improvement,1,,true
504,Required user input is not visible when applying a template — the user must click 'edit' to see it.,New – Not yet discussed,Improvement,1,,true
505,RVG and court-cost calculations are wildly wrong — amounts are not correctly taken from the tables.,New – Not yet discussed,Improvement,1,,true
506,"Date/deadline calculations are almost always wrong when reference dates are entered (weekdays, week-based deadlines).",New – Not yet discussed,Improvement,1,,true
507,Marginal numbers (Randziffern) in responses are often too long to be usable.,New – Not yet discussed,Improvement,1,,true
508,Users want color/bold highlighting of the exact citation so they can relocate it after returning to a topic weeks later.,New – Not yet discussed,Idea,1,DELETE - merged into ID 78,true
509,"The user needs the tool to not be influenced by an arguing user unless the tool actually uncovers new information in the system, that changes the result.",New – Not yet discussed,General Feedback,1,,true
510,"The user needs conditional formatting (e.g. colour, bold, flags) in Matrix Analysis cells, triggered by prompt results.",New – Not yet discussed,Missing Feature,1,,true
511,The user needs to be able to duplicate existing templates for reuse in similar use cases with slight variations.,New – Not yet discussed,Missing Feature,1,,true
512,The user needs to be able to resize Matrix Analysis column widths.,New – Not yet discussed,Missing Feature,1,,true
513,"The user needs Swiss court decisions to be chunked and cited at the ""Erwägung"" level rather than by fixed size, matching the court's own reasoning structure.",New – Not yet discussed,Missing Feature,1,,true
514,The (non-admin) user needs to be able to create private templates for themselves.,New – Not yet discussed,Missing Feature,3,,true
515,The user needs to be able to duplicate an existing Matrix Analysis.,New – Not yet discussed,Missing Feature,1,,true
516,The user needs to be able to create templates for Matrix Analysis.,New – Not yet discussed,Missing Feature,1,,true
517,The user expects the tool to adhere to his instructions (e.g. limitations to sources of interest).,New – Not yet discussed,General Feedback,1,,true
518,"The user needs an ""Artefakte"" section that surfaces uploaded documents alongside citations, and eventually the playbook used.",New – Not yet discussed,Idea,1,,true
519,The user needs voice input for long transcription of dictated text or meetings.,New – Not yet discussed,Improvement,1,,true
520,The user needs to be able to collapse or minimize the question box so answers get more screen space.,New – Not yet discussed,Missing Feature,1,,true
521,The user needs to be able to create and use templates in multiple languages without creating a template per language.,New – Not yet discussed,Missing Feature,1,,true
522,The user needs configurable citation length — shorter inline citations while keeping full-length citations available elsewhere.,New – Not yet discussed,Missing Feature,1,,true
523,"The user needs custom, savable agents (""Gems"") for recurring tasks.",New – Not yet discussed,Idea,1,,true
524,"The user needs a single, unambiguous login entry point instead of two confusing options (publisher portal vs. direct app link).",New – Not yet discussed,Improvement,1,,true
525,The user needs to have document citations for relevant passages not for the full document only.,New – Not yet discussed,Missing Feature,1,,true
526,The user needs an option to prevent accidental message submission when pressing Enter.,New – Not yet discussed,Improvement,1,,true
527,The user needs transparency on how to add user input to a template.,New – Not yet discussed,Improvement,1,,true
